Component Name,Category,Unit Price (EGP),Quantity,Total Price (EGP),Unit Price (USD),Total Price (USD),Store Name,Sourcing Link
Raspberry Pi Pico 2 W,Microcontroller,900.00 EGP,1,900.00 EGP,$17.36,$17.36,Dev Boards,View Product Site
BTS7960 43A DC Motor Driver,Motor Drivers,450.00 EGP,2,900.00 EGP,$8.68,$17.36,Most electronics,View Product Site
MG996R 360° Servo Motor,Motors & Actuators,210.00 EGP,3,630.00 EGP,$4.05,$12.15,Ram electronics,View Product Site
HC-SR04 Ultrasonic Sensor,Sensors,40.00 EGP,3,120.00 EGP,$0.77,$2.31,Ram electronics,View Product Site
Ublox NEO-7M GPS Module,Sensors,540.00 EGP,1,540.00 EGP,$10.41,$10.41,Micro ohm,View Product Site
MPU-6050 IMU Gyro/Accel Module,Sensors,175.00 EGP,1,175.00 EGP,$3.38,$3.38,Ram electronics,View Product Site
DS18B20 Waterproof Temp Sensor,Sensors,85.00 EGP,1,85.00 EGP,$1.64,$1.64,Ram electronics,View Product Site
Capacitive Soil Moisture Sensor V2.0,Sensors,100.00 EGP,1,100.00 EGP,$1.93,$1.93,Ram electronics,View Product Site
XL4016 8A Step-Down Buck Converter,Power Management,242.99 EGP,1,242.99 EGP,$4.69,$4.69,Most electronics,View Product Site
LM2596 3A Step-Down Buck Converter,Power Management,121.99 EGP,1,121.99 EGP,$2.35,$2.35,Most electronics,View Product Site
DC Motor With Gear Box JGA25-370-12V-33RPM 30Kg.cm,Motors & Actuators,300.00 EGP,2,600.00 EGP,$5.79,$11.57,Makers electronics,View Product Site
Rechargeable Original New Li-ion Battery Pack -18650 12V 3S-2P+BMS 6000mAh,Power Management,900.00 EGP,1,900.00 EGP,$17.36,$17.36,Makers electronics,View Product Site
Total Summary,,,18,"5,314.98 EGP",,$102.51,,
,,,,,,,,
